nama_kategori,nama_produk,tgl_transaksi,nama_cabang,nilai_jual,jumlah_unit
Sayur-Sayuran,Bawang Merah / Onion 1kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,1394460,127
Sayur-Sayuran,buncis 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,696640,112
Sayur-Sayuran,kacang panjang 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,850120,106
Sayur-Sayuran,kacang hijau 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,382130,53
Sayur-Sayuran,kentang 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,73184640,9024
Sayur-Sayuran,ketimun 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,412960,89
Sayur-Sayuran,kobis 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,56180,53
Sayur-Sayuran,tomat 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,675360,144
Sayur-Sayuran,ubi kayu basah 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,89100,81
Sayur-Sayuran,ubi jalar 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,107690,89
Sayur-Sayuran,wortel 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,581360,169
Makanan & Minuman,susu kotak (800 ml),2008-01-01 00:00:00,PHI Mini Market - Makassar 01,356120,29
Makanan & Minuman,telur ayam ras 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,2142720,186
Makanan & Minuman,telur ayam kampung 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,2039040,108
Makanan & Minuman,mie instant 1 kotak (40 bungkus),2008-01-01 00:00:00,PHI Mini Market - Makassar 01,5794800,60
Makanan & Minuman,air mineral 600 ml,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,91200,76
Makanan & Minuman,jus kesehatan 600 ml,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,1478400,165
Makanan & Minuman,nasi goreng instant (1 ons),2008-01-01 00:00:00,PHI Mini Market - Makassar 01,593880,98
Makanan & Minuman,snack gurih 1 ons,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,885560,169
Makanan & Minuman,kacang goreng 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,375100,31
Makanan & Minuman,kacang mete 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,4989880,71
Makanan & Minuman,markisa 600 ml,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,1842100,130
Makanan & Minuman,bumbu fried chicken,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,1628460,109
Makanan & Minuman,susu kotak 1 l,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,772160,76
Makanan & Minuman,minuman probiotik,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,69300,77
Buah,jeruk 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,1444660,119
Buah,apel 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,811740160,14848
Buah,alpukat 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,642360,106
Buah,belimbing 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,280700,70
Buah,durian 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,1496490,83
Buah,kelapa muda,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,277200,55
Buah,mangga 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,768810,49
Buah,Manggis 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,1715640,87
Buah,nenas 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,314600,52
Buah,nangka 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,219317760,7296
Buah,pepaya 1 buah,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,603790,121
Buah,pisang 1 sisir,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,575040,96
Buah,rambutan 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,679520,124
Buah,salak 1 kg,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,2565300,170
Buah,semangka 1 buah,2008-01-01 00:00:00,PHI Mini Market - Makassar 01,514800,40
Sayur-Sayuran,Bawang Merah / Onion 1kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1262700,115
Sayur-Sayuran,buncis 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,684870,111
Sayur-Sayuran,kacang panjang 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,427710,53
Sayur-Sayuran,kacang hijau 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,644360,89
Sayur-Sayuran,kentang 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,37140480,4608
Sayur-Sayuran,ketimun 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,801500,175
Sayur-Sayuran,kobis 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,100700,95
Sayur-Sayuran,tomat 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,401620,86
Sayur-Sayuran,ubi kayu basah 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,54390,49
Sayur-Sayuran,ubi jalar 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,195600,163
Sayur-Sayuran,wortel 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,224000,64
Makanan & Minuman,susu kotak (800 ml),2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1642550,133
Makanan & Minuman,telur ayam ras 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,882960,78
Makanan & Minuman,telur ayam kampung 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1617660,86
Makanan & Minuman,mie instant 1 kotak (40 bungkus),2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,11735180,122
Makanan & Minuman,air mineral 600 ml,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,152460,126
Makanan & Minuman,jus kesehatan 600 ml,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,983400,110
Makanan & Minuman,nasi goreng instant (1 ons),2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,480000,80
Makanan & Minuman,snack gurih 1 ons,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,738400,142
Makanan & Minuman,kacang goreng 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1156150,95
Makanan & Minuman,kacang mete 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,7948080,114
Makanan & Minuman,markisa 600 ml,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,901760,64
Makanan & Minuman,bumbu fried chicken,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1923390,129
Makanan & Minuman,susu kotak 1 l,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,527280,52
Makanan & Minuman,minuman probiotik,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,119210,131
Buah,jeruk 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1594270,131
Buah,apel 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1116769280,20224
Buah,alpukat 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,291840,48
Buah,belimbing 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,492280,124
Buah,durian 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1502300,83
Buah,kelapa muda,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,425000,85
Buah,mangga 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1497680,97
Buah,Manggis 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,3080000,154
Buah,nenas 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1185340,194
Buah,nangka 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,161272320,5312
Buah,pepaya 1 buah,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,695520,138
Buah,pisang 1 sisir,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,730620,123
Buah,rambutan 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,348390,63
Buah,salak 1 kg,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1050000,70
Buah,semangka 1 buah,2008-01-01 00:00:00,PHI Mini Market - Jakarta Pusat 01,1370250,105
Sayur-Sayuran,Bawang Merah / Onion 1kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,690480,63
Sayur-Sayuran,buncis 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,913960,146
Sayur-Sayuran,kacang panjang 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,856480,106
Sayur-Sayuran,kacang hijau 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,537750,75
Sayur-Sayuran,kentang 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,77050880,9536
Sayur-Sayuran,ketimun 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,454720,98
Sayur-Sayuran,kobis 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,121980,114
Sayur-Sayuran,tomat 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,580560,123
Sayur-Sayuran,ubi kayu basah 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,107800,98
Sayur-Sayuran,ubi jalar 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,136850,115
Sayur-Sayuran,wortel 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,276500,79
Makanan & Minuman,susu kotak (800 ml),2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,444600,36
Makanan & Minuman,telur ayam ras 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,763130,67
Makanan & Minuman,telur ayam kampung 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,2075360,109
Makanan & Minuman,mie instant 1 kotak (40 bungkus),2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,7488000,78
Makanan & Minuman,air mineral 600 ml,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,49610,41
Makanan & Minuman,jus kesehatan 600 ml,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,1052560,118
Makanan & Minuman,nasi goreng instant (1 ons),2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,598000,100
Makanan & Minuman,snack gurih 1 ons,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,449790,87
Makanan & Minuman,kacang goreng 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,736880,61
Makanan & Minuman,kacang mete 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,6916140,99
Makanan & Minuman,markisa 600 ml,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,950640,68
Makanan & Minuman,bumbu fried chicken,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,858420,57
Makanan & Minuman,susu kotak 1 l,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,455400,45
Makanan & Minuman,minuman probiotik,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,92700,103
